{'con1': 8, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 4], 'RCAB2': [8, 16], 'decon5': [8, 4], 'RCAB3': [16, 12], 'decon6': [4, 4], 'RCAB4': [8, 4], 'decon7': [8, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 63.780K---params: 0.000B---Psnr_score: 17.934258964957017---Ssim_score:0.661059304691901---uiqm_va: 0.6888982964579509---uciqe_va:28.343353865768975
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 4], 'RCAB2': [8, 8], 'decon5': [8, 4], 'RCAB3': [12, 4], 'decon6': [8, 4], 'RCAB4': [16, 4], 'decon7': [4, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 60.708K---params: 0.000B---Psnr_score: 18.03190001998734---Ssim_score:0.6582887319366221---uiqm_va: 0.6890785424749135---uciqe_va:28.198540881543057
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [8, 4], 'decon4': [4, 8], 'RCAB2': [16, 8], 'decon5': [4, 8], 'RCAB3': [12, 12], 'decon6': [8, 4], 'RCAB4': [4, 16], 'decon7': [8, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 69.168K---params: 0.000B---Psnr_score: 17.552149152011363---Ssim_score:0.6578145052290539---uiqm_va: 0.7169171712189072---uciqe_va:28.310778444072675
{'con1': 4, 'con2': 4, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [8, 8], 'decon5': [8, 4], 'RCAB3': [4, 16], 'decon6': [4, 8], 'RCAB4': [8, 16], 'decon7': [4, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 65.068K---params: 0.000B---Psnr_score: 18.279987008707362---Ssim_score:0.6542897184214467---uiqm_va: 0.7195119258827254---uciqe_va:28.006330968820752
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [16, 12], 'decon5': [4, 4], 'RCAB3': [12, 4], 'decon6': [8, 8], 'RCAB4': [12, 8], 'decon7': [4, 4], 'decon8': [4, 4]}:epoch[200]:---flops: 76.328K---params: 0.000B---Psnr_score: 18.025332777551874---Ssim_score:0.6657027414316475---uiqm_va: 0.7077938479536298---uciqe_va:27.59104994713939
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [8, 4], 'RCAB2': [16, 8], 'decon5': [4, 4], 'RCAB3': [12, 8], 'decon6': [8, 8], 'RCAB4': [12, 8], 'decon7': [4, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 59.940K---params: 0.000B---Psnr_score: 18.06104751418189---Ssim_score:0.645023471986839---uiqm_va: 0.7039430838038162---uciqe_va:27.73781744105802
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 4], 'RCAB2': [12, 8], 'decon5': [4, 8], 'RCAB3': [8, 8], 'decon6': [8, 8], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 64.040K---params: 0.000B---Psnr_score: 17.895752692680425---Ssim_score:0.6663197546673048---uiqm_va: 0.7069144764470359---uciqe_va:27.986925466549728
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [8, 4], 'decon4': [8, 8], 'RCAB2': [12, 16], 'decon5': [4, 4], 'RCAB3': [4, 8], 'decon6': [8, 8], 'RCAB4': [12, 12], 'decon7': [8, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 78.124K---params: 0.000B---Psnr_score: 17.855679523364685---Ssim_score:0.6441948862111221---uiqm_va: 0.7170842290870402---uciqe_va:27.68015518521292
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [4, 8], 'RCAB2': [4, 4], 'decon5': [4, 8], 'RCAB3': [4, 16], 'decon6': [8, 4], 'RCAB4': [4, 16], 'decon7': [4, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 64.808K---params: 0.000B---Psnr_score: 17.75718637696068---Ssim_score:0.6523462227283704---uiqm_va: 0.6968020952705423---uciqe_va:27.987190629574464
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [4, 8], 'RCAB2': [16, 8], 'decon5': [4, 8], 'RCAB3': [12, 12], 'decon6': [4, 4], 'RCAB4': [4, 8], 'decon7': [4, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 69.936K---params: 0.000B---Psnr_score: 17.656568511181483---Ssim_score:0.6413675803459176---uiqm_va: 0.71226682621932---uciqe_va:28.34613887125864
{'con1': 8, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 8], 'RCAB2': [8, 4], 'decon5': [8, 4], 'RCAB3': [16, 8], 'decon6': [4, 4], 'RCAB4': [4, 16], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 65.836K---params: 0.000B---Psnr_score: 18.196248019971247---Ssim_score:0.6577444285779005---uiqm_va: 0.675070091273168---uciqe_va:28.435555648623957
